Time,led,Heater,Humidifier,Pump,Temperature(*C),Humidity(%),Soil moisture
16.20.00,on,off,on,off,17,40,0.25715264096069057
16.30.00,on,on,on,off,16,29,0.25715264096069057
16.40.02,on,off,on,off,17,36,0.2555341670179383
16.50.00,on,on,on,off,16,31,0.2604046677959724
17.00.00,on,on,on,off,16,40,0.2604046677959724
17.10.02,on,on,on,off,16,42,0.2587761334272962
17.20.02,on,on,on,off,16,42,0.2587761334272962
17.30.00,on,on,on,off,16,41,0.2587761334272962
17.40.02,on,on,on,off,16,40,0.2587761334272962
17.50.02,on,on,on,off,16,42,0.2587761334272962
18.00.00,off,on,on,off,16,42,0.25715264096069057
18.10.02,off,on,on,off,15,41,0.25715264096069057
18.20.00,off,on,on,off,15,43,0.25715264096069057
18.30.00,off,on,on,off,15,41,0.25715264096069057
18.40.00,off,on,on,off,15,41,0.2555341670179383
18.50.04,off,on,on,off,15,42,0.2555341670179383
19.00.00,off,on,on,off,15,46,0.2555341670179383
19.10.00,off,on,on,off,15,45,0.2620382675903672
19.20.00,off,on,on,off,15,42,0.2620382675903672
19.30.02,off,on,on,off,15,42,0.2620382675903672
19.40.02,off,on,on,off,15,42,0.2620382675903672
19.50.00,off,on,on,off,15,40,0.2620382675903672
20.00.00,off,on,on,off,15,37,0.2636769564806949
20.10.02,off,on,on,off,15,41,0.2653207582848769
20.20.00,off,on,on,off,15,39,0.2653207582848769
20.30.04,off,on,on,off,14,41,0.2636769564806949
20.40.00,off,on,on,off,14,43,0.2636769564806949
20.50.02,off,on,on,off,14,40,0.2636769564806949
21.00.00,off,on,on,off,15,50,0.2555341670179383
21.10.00,off,on,on,off,15,49,0.2604046677959724
21.20.00,off,on,on,off,14,49,0.2587761334272962
21.30.00,off,on,on,off,14,48,0.2604046677959724
21.40.00,off,on,on,off,14,47,0.2604046677959724
21.50.00,off,on,on,off,14,45,0.2604046677959724
22.00.00,off,on,on,off,14,47,0.2604046677959724
22.10.00,off,on,on,off,14,46,0.2604046677959724
22.20.02,off,on,on,off,14,47,0.2604046677959724
22.30.00,off,on,on,off,14,44,0.2604046677959724
22.40.00,off,on,on,off,14,45,0.2604046677959724
22.50.00,off,on,on,off,14,42,0.2604046677959724
23.00.02,off,on,on,off,14,43,0.2587761334272962
23.10.00,off,on,on,off,14,47,0.2587761334272962
23.20.00,off,on,on,off,14,48,0.2604046677959724
23.30.00,off,on,on,off,14,42,0.2587761334272962
23.40.00,off,on,on,off,14,48,0.2604046677959724
23.50.00,off,on,on,off,14,45,0.2604046677959724
00.00.02,off,on,on,off,14,47,0.2587761334272962
00.10.00,off,on,on,off,14,49,0.2587761334272962
00.20.00,off,on,on,off,14,43,0.2587761334272962
